SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
12,S12,1,40.2584956999999,1,2,3,4,4.0,40.2584956999999,4.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,2,8.59351040000001,1,3,5,6,2.0,24.42600305,3.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,3,9.93376570000009,1,1,1,2,2.0,19.5952572666667,2.66666666666667,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,4,9.32158660000005,2,2,3,4,0.0,9.32158660000005,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,5,8.25475129999995,2,1,1,2,0.0,8.78816895,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,6,6.85342500000002,2,3,5,6,0.0,8.1432543,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,7,8.80859859999987,3,1,1,2,2.0,8.80859859999987,2.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,8,10.7718886999999,3,2,3,4,2.0,9.79024364999987,2.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,9,8.9583647999998,3,3,5,6,0.0,9.51295069999984,1.33333333333333,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,10,8.3022117999999,4,1,1,2,0.0,8.3022117999999,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,11,8.15070130000004,4,2,3,4,3.0,8.22645654999997,1.5,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,12,5.40878150000003,4,3,5,6,0.0,7.28723153333332,1.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,13,1.94673579999994,5,2,3,4,0.0,1.94673579999994,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,14,2.89647709999986,5,1,1,2,0.0,2.4216064499999,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
12,S12,15,4.71985449999988,5,3,5,6,0.0,3.18768913333323,0.0,2026-04-12,SPtask1-12-2026-04-12.csv
13,S13,1,21.7918236,1,3,5,6,1.0,21.7918236,1.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,2,55.1462178000002,1,2,3,4,3.0,38.4690207000001,2.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,3,7.88077579999981,1,1,1,2,0.0,28.2729390666667,1.33333333333333,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,4,18.2414484000001,2,3,5,6,4.0,18.2414484000001,4.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,5,14.4136048999999,2,1,1,2,1.0,16.32752665,2.5,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,6,17.3056564999997,2,2,3,4,4.0,16.6535699333332,3.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,7,20.1201704,3,3,5,6,3.0,20.1201704,3.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,8,16.2867461999999,3,2,3,4,2.0,18.2034583,2.5,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,9,5.55850779999992,3,1,1,2,0.0,13.9884747999999,1.66666666666667,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,10,21.2374048000001,4,1,1,2,0.0,21.2374048000001,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,11,8.12897040000007,4,3,5,6,0.0,14.6831876000001,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
