SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
16,BC,unknown,cross_edges,2,7.188498402555911,5.047923322683706,0.26386673276593187,0.7860869295852199,6.949,5.111999999999999
16,BC,unknown,same_edges,2,7.348242811501597,5.559105431309904,0.6461238989123983,0.43680077426531394,6.949,5.111999999999999
17,AB,near,cross_edges,2,6.550000000000001,6.425000000000001,1.5344652370868013,0.6031236706731591,5.112,6.949
17,AB,near,same_edges,2,6.5,5.8,2.3006837867552496,1.0634332898053163,5.112,6.949
17,AC,far,cross_edges,2,5.2250000000000005,4.199999999999999,0.9884676382967896,1.0987754425978054,4.4395,4.4395
17,AC,far,same_edges,2,6.0,5.375,1.833848842846835,1.422604325337388,4.4395,4.4395
17,BC,unknown,cross_edges,2,6.074999999999999,5.55,1.0563542793567158,0.9140783389271654,6.949,5.111999999999999
17,BC,unknown,same_edges,2,6.65,5.3,0.7784791790604266,0.6478741218931515,6.949,5.111999999999999
18,AB,far,cross_edges,2,4.76038338658147,6.996805111821086,0.38740934849926323,0.2723173897256403,5.112,6.949
18,AB,far,same_edges,2,4.728434504792332,6.5495207667731625,0.5851696736437173,0.6741808977393968,5.112,6.949
18,AC,near,cross_edges,2,4.4089456869009584,4.50479233226837,0.07357703414066229,0.18224423181156052,4.4395,4.4395
18,AC,near,same_edges,2,4.376996805111821,4.376996805111821,0.11480262295886515,0.19169329073482455,4.4395,4.4395
18,BC,unknown,cross_edges,2,6.932907348242812,3.738019169329074,1.399108657113188,0.9132470529183503,6.949,5.111999999999999
18,BC,unknown,same_edges,2,6.7092651757188495,4.952076677316294,0.427352767888166,0.485467147660999,6.949,5.111999999999999
20,AB,far,cross_edges,3,4.536741214057508,7.156549520766773,0.5754772722139913,0.42982824431545347,5.112,6.949
20,AB,far,same_edges,2,4.920127795527156,6.7092651757188495,0.30723964171300594,0.49730094766581423,5.112,6.949
20,AC,near,cross_edges,2,4.366605450472017,4.343646808694772,0.12066202116673341,0.11715147353153513,4.4395,4.4395
20,AC,near,same_edges,2,4.550314609585595,4.241283766731872,0.4810028719339893,0.526122517267921,4.4395,4.4395
20,BC,unknown,cross_edges,2,7.353138023478503,4.778680761620619,0.5688882937771388,0.6837857280744939,6.949,5.111999999999999
20,BC,unknown,same_edges,2,6.574790513529223,5.144120006685733,0.5246742923991669,0.6965235370240213,6.949,5.111999999999999
21,AB,near,cross_edges,2,4.592010740145273,6.704223812883037,0.7818793771272587,0.42691156732583835,5.112,6.949
21,AB,near,same_edges,2,5.374562089310139,7.102585102471156,0.9217617684707344,1.2290682493625318,5.112,6.949
21,AC,far,cross_edges,2,4.442041790943257,5.098692714454552,0.7340776464757299,0.6747274332778385,4.4395,4.4395
21,AC,far,same_edges,2,4.2994309055752815,5.1636146766582645,0.7910833699700142,0.9625783619522359,4.4395,4.4395
21,BC,unknown,cross_edges,2,7.105519983382674,4.534514645548458,0.6047000972264062,0.8528660321648796,6.949,5.111999999999999
21,BC,unknown,same_edges,2,6.6127600531626705,4.979362098147021,1.2844244494526011,1.3475075283973523,6.949,5.111999999999999
23,AB,near,cross_edges,2,4.45,5.875,1.3824635415721478,1.0765067197887468,5.112,6.949
23,AB,near,same_edges,2,5.073800842910252,6.445793961712575,1.0061512948770415,1.6223107721292416,5.112,6.949
23,AC,far,cross_edges,2,3.9749999999999996,4.25,0.5838433138398661,1.0633342476412269,4.4395,4.4395
23,AC,far,same_edges,2,3.278277859889929,4.343813246377328,1.207350788958695,1.461280585728824,4.4395,4.4395
23,BC,unknown,cross_edges,2,5.124417833996942,4.576297640214706,2.0188515085905436,0.5941705473789874,6.949,5.111999999999999
23,BC,unknown,same_edges,2,7.4,5.1,0.5771715636509783,1.745446478746627,6.949,5.111999999999999
29,AB,near,cross_edges,2,5.335120643431635,7.2922252010723865,0.4103757075248546,0.153725567525908,5.112,6.949
29,AB,near,same_edges,2,5.361930294906166,7.131367292225201,0.6114530864554707,0.6249196872761323,5.112,6.949
29,AC,far,cross_edges,2,4.289544235924933,4.638069705093834,0.25948210937790483,0.18676417257958944,4.4395,4.4395
29,AC,far,same_edges,2,4.7721179624664884,4.879356568364611,0.568066923515301,0.5074132297224432,4.4395,4.4395
29,BC,unknown,cross_edges,2,7.345844504021448,5.040214477211796,0.4837000597004756,0.4795856252010274,6.949,5.111999999999999
