SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3,source,source_date,trial_index,square_side_max_abs_error_px,proc1_day3_date,day_index,square_side_rmse_px,square_side_px,scale_source,pd_date_matches_proc1_day3,F1X_0to10,F1Y_0to10,F2X_0to10,F2Y_0to10,MidX_0to10,MidY_0to10,MX_0to10,MY_0to10,MMX_0to10,MMY_0to10,DX_0to10,DY_0to10,D_0to10,ans_D_0to10,raw_condition,condition,relationship,distance_nested,learned_D_0to10,d_error_0to10,pair_label
15,xhty,Male,21,Right,4,2,342.00000000000006,375.6,1,1,24.0,248.0,342.6452392781783,183.00000000000003,311.8,1,13.378537197173697,28.048686525897516,31.075940426063138,0.9829249000003983,31.226779755589657,36.56186152792394,1.6079594000002544,,,,PDtask-15-2025-12-06.mat,2025-12-06,57,0.0,2025-12-06,3,0.0,400,proc1_day3,True,8.55,9.39,0.6,6.2,4.575000000000001,7.795000000000001,0.7806694938897414,0.9140465381980984,,,0.33446342992934247,0.7012171631474379,8.566130981954457,0.7768985106515784,AB,near,different,near,6.685056843438207,-5.908158332786629,1-4
15,xhty,Male,21,Right,3,2,267.6,234.0,2,1,184.0,254.0,85.95906002278063,225.8,244.0,2,73.48208946526843,13.61910028106629,74.73350898122912,3.234605399999964,73.48208946526843,13.61910028106629,3.227268499999809,71.97413918429689,25.302103341013122,6.745983099999648,PDtask-15-2025-12-06.mat,2025-12-06,58,0.0,2025-12-06,3,0.0,400,proc1_day3,True,6.69,5.85,4.6000000000000005,6.35,5.645,6.1,1.8370522366317108,0.34047750702665724,1.7993534796074222,0.6325525835253281,1.8370522366317108,0.34047750702665724,2.148976500569516,1.8683377245307282,AB,near,different,near,3.7159673034083602,-1.847629578877632,2-3
15,xhty,Male,21,Right,5,3,208.4,172.0,4,2,342.00000000000006,375.6,243.519855453308,275.20000000000005,273.8,0,41.18571836653477,37.0837873845397,55.420850626359616,1.9243085999996765,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,59,0.0,2025-12-06,3,0.0,400,proc1_day3,True,5.21,4.3,8.55,9.39,6.880000000000002,6.845,,,,,1.0296429591633693,0.9270946846134924,6.0879963863327005,1.3855212656589906,BC,unknown,different,unknown,6.119015035117989,-4.733493769458998,4-5
15,xhty,Male,21,Right,4,2,342.00000000000006,375.6,5,3,208.4,172.0,243.519855453308,275.20000000000005,273.8,0,68.49578660502279,22.255630176937874,72.02073213466694,2.9160578000000896,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,60,0.0,2025-12-06,3,0.0,400,proc1_day3,True,8.55,9.39,5.21,4.3,6.880000000000002,6.845,,,,,1.7123946651255697,0.5563907544234469,6.0879963863327005,1.8005183033666736,BC,unknown,different,unknown,6.119015035117989,-4.318496731751315,4-5
16,lhy,Male,20,Left,1,1,18.779999999999998,194.06,3,2,209.39700000000002,183.105,190.931539338057,114.08850000000001,188.58249999999998,0,122.0,124.0,173.95401691251627,57.98600290000013,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,1,0.0,2026-04-12,3,0.0,313,proc1_day3,True,0.5999999999999999,6.2,6.69,5.85,3.6450000000000005,6.0249999999999995,,,,,3.8977635782747604,3.961661341853035,6.100049180129616,5.557636323083587,AB,far,different,far,5.482720219015374,0.0749161040682127,1-3
16,lhy,Male,20,Left,4,2,267.615,293.90700000000004,1,1,18.779999999999998,194.06,268.1198997351745,143.1975,243.98350000000002,0,222.0,38.000000000000014,225.22877258467668,48.49328689999993,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,2,0.0,2026-04-12,3,0.0,313,proc1_day3,True,8.55,9.390000000000002,0.5999999999999999,6.2,4.574999999999999,7.795000000000001,,,,,7.092651757188499,1.214057507987221,8.566130981954457,7.1958074308203415,AB,far,different,far,6.685056843438207,0.5107505873821347,1-4
16,lhy,Male,20,Left,1,1,18.779999999999998,194.06,2,1,143.98,198.755,125.2880003232552,81.38,196.4075,1,38.0,70.0,79.64923100695951,27.72392209999998,76.0,200.0,51.732203700000355,,,,PDtask-16-2026-04-12.mat,2026-04-12,3,0.0,2026-04-12,3,0.0,313,proc1_day3,True,0.5999999999999999,6.2,4.6,6.35,2.6,6.2749999999999995,2.428115015974441,6.3897763578274756,,,1.2140575079872205,2.2364217252396164,4.002811511925087,2.5447038660370453,same,same,same,,3.00027632060782,-0.45557245457077444,1-2
16,lhy,Male,20,Left,3,2,209.39700000000002,183.105,4,2,267.615,293.90700000000004,125.1655652645727,238.50600000000003,238.50600000000003,2,90.0,90.0,127.27922061357856,38.42216499999995,244.0,248.0,34.531495200000336,156.0,220.0,71.01698850000002,PDtask-16-2026-04-12.mat,2026-04-12,4,0.0,2026-04-12,3,0.0,313,proc1_day3,True,6.69,5.85,8.55,9.390000000000002,7.620000000000001,7.620000000000001,7.795527156549521,7.92332268370607,4.984025559105431,7.0287539936102235,2.8753993610223643,2.8753993610223643,3.998899848708393,4.066428773596759,same,same,same,,2.999433613200998,1.066995160395761,3-4
16,lhy,Male,20,Left,5,3,163.073,134.59,2,1,143.98,198.755,66.94542459347016,153.5265,166.6725,0,70.0,150.0,165.5294535724685,37.48912670000027,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,5,0.0,2026-04-12,3,0.0,313,proc1_day3,True,5.21,4.3,4.6,6.35,4.905,5.325000000000001,,,,,2.2364217252396164,4.7923322683706076,2.1388314566603888,5.2884809448073,AC,near,different,near,6.1185006333251275,-0.8300196885178277,2-5
16,lhy,Male,20,Left,2,1,143.98,198.755,5,3,163.073,134.59,66.94542459347016,153.5265,166.6725,0,68.0,152.0,166.5172663719892,44.529020500000115,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,6,0.0,2026-04-12,3,0.0,313,proc1_day3,True,4.6,6.35,5.21,4.3,4.905,5.325000000000001,,,,,2.1725239616613417,4.856230031948882,2.1388314566603888,5.320040459168984,AC,near,different,near,6.1185006333251275,-0.7984601741561432,2-5
16,lhy,Male,20,Left,1,1,18.779999999999998,194.06,6,3,229.742,28.483,268.18036537561807,124.261,111.2715,0,160.0,64.00000000000001,172.32527382830415,34.56610980000005,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,7,0.0,2026-04-12,3,0.0,313,proc1_day3,True,0.5999999999999999,6.2,7.34,0.9099999999999999,3.9699999999999998,3.5549999999999997,,,,,5.111821086261981,2.0447284345047927,8.568062791553292,5.5055998028212185,AC,near,different,near,5.482577678428278,0.02302212439294049,1-6
16,lhy,Male,20,Left,6,3,229.742,28.483,4,2,267.615,293.90700000000004,268.1124090843242,248.67849999999999,161.19500000000002,1,66.0,96.0,116.49892703368559,24.715491499999644,254.0,136.0,46.86832689999983,,,,PDtask-16-2026-04-12.mat,2026-04-12,8,0.0,2026-04-12,3,0.0,313,proc1_day3,True,7.34,0.9099999999999999,8.55,9.390000000000002,7.945,5.150000000000001,8.115015974440894,4.345047923322683,,,2.108626198083067,3.0670926517571884,8.565891664035917,3.722010448360562,BC,unknown,different,unknown,3.716036194656882,0.005974253703679988,4-6
16,lhy,Male,20,Left,5,3,163.073,134.59,3,2,209.39700000000002,183.105,67.07919350290372,186.235,158.8475,2,36.0,248.0,250.59928172283335,26.390914099999918,188.0,190.0,28.71834919999992,228.0,160.0,72.0939242000004,PDtask-16-2026-04-12.mat,2026-04-12,9,0.0,2026-04-12,3,0.0,313,proc1_day3,True,5.21,4.3,6.69,5.85,5.950000000000001,5.074999999999999,6.006389776357828,6.0702875399361025,7.284345047923323,5.111821086261981,1.1501597444089455,7.92332268370607,2.1431052237349433,8.00636682820554,BC,unknown,different,unknown,6.684913836393106,1.3214529918124338,3-5
16,lhy,Male,20,Left,6,3,229.742,28.483,4,2,267.615,293.90700000000004,268.1124090843242,248.67849999999999,161.19500000000002,1,60.0,100.0,116.61903789690601,35.12777210000013,256.0,132.0,35.537244699999974,,,,PDtask-16-2026-04-12.mat,2026-04-12,10,0.0,2026-04-12,3,0.0,313,proc1_day3,True,7.34,0.9099999999999999,8.55,9.390000000000002,7.945,5.150000000000001,8.178913738019169,4.217252396166134,,,1.9169329073482428,3.1948881789137378,8.565891664035917,3.7258478561311827,BC,unknown,different,unknown,3.716036194656882,0.009811661474300681,4-6
16,lhy,Male,20,Left,2,1,143.98,198.755,4,2,267.615,293.90700000000004,156.0112698781726,205.7975,246.33100000000002,2,208.0,38.000000000000014,211.4426636230257,28.65722020000021,196.0,224.0,31.843526399999973,240.0,178.0,68.80300529999977,PDtask-16-2026-04-12.mat,2026-04-12,11,0.0,2026-04-12,3,0.0,313,proc1_day3,True,4.6,6.35,8.55,9.390000000000002,6.575000000000001,7.87,6.261980830670927,7.156549520766773,7.667731629392971,5.686900958466453,6.645367412140574,1.214057507987221,4.984385619110946,6.755356665272387,AB,far,different,far,6.1185933841038995,0.6367632811684878,2-4
16,lhy,Male,20,Left,6,3,229.742,28.483,2,1,143.98,198.755,190.65066123147855,186.861,113.619,0,120.0,118.0,168.2973558912914,32.43863509999983,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,12,0.0,2026-04-12,3,0.0,313,proc1_day3,True,7.34,0.9099999999999999,4.6,6.35,5.97,3.63,,,,,3.8338658146964857,3.769968051118211,6.091075438705385,5.376912328795252,AC,near,different,near,6.685304779888497,-1.308392451093245,2-6
16,lhy,Male,20,Left,5,3,163.073,134.59,4,2,267.615,293.90700000000004,190.5542868922135,215.344,214.24850000000004,0,116.0,116.0,164.04877323527901,13.91373300000032,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,13,0.0,2026-04-12,3,0.0,313,proc1_day3,True,5.21,4.3,8.55,9.390000000000002,6.879999999999999,6.845000000000001,,,,,3.706070287539936,3.706070287539936,6.0879963863327,5.2411748637469335,BC,unknown,different,unknown,6.119015035117989,-0.8778401713710551,4-5
16,lhy,Male,20,Left,6,3,229.742,28.483,2,1,143.98,198.755,190.65066123147855,186.861,113.619,1,116.0,116.0,164.04877323527901,13.680150600000161,154.0,154.0,14.538302100000237,,,,PDtask-16-2026-04-12.mat,2026-04-12,14,0.0,2026-04-12,3,0.0,313,proc1_day3,True,7.34,0.9099999999999999,4.6,6.35,5.97,3.63,4.920127795527157,4.920127795527157,,,3.706070287539936,3.706070287539936,6.091075438705385,5.2411748637469335,AC,near,different,near,6.685304779888497,-1.4441299161415637,2-6
16,lhy,Male,20,Left,1,1,18.779999999999998,194.06,5,3,163.073,134.59,156.06777613908645,90.9265,164.325,2,96.0,96.0,135.7645019878171,18.74618580000015,94.0,94.0,22.67285119999997,126.0,126.0,35.66975619999948,PDtask-16-2026-04-12.mat,2026-04-12,15,0.0,2026-04-12,3,0.0,313,proc1_day3,True,0.5999999999999999,6.2,5.21,4.3,2.9050000000000002,5.249999999999999,3.003194888178914,3.003194888178914,4.02555910543131,4.02555910543131,3.0670926517571884,3.0670926517571884,4.986190930961229,4.337524025169876,AC,near,different,near,3.7151457575712965,0.6223782675985796,1-5
16,lhy,Male,20,Left,2,1,143.98,198.755,5,3,163.073,134.59,66.94542459347016,153.5265,166.6725,0,62.0,152.0,164.1584600317632,31.144610100000136,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,16,0.0,2026-04-12,3,0.0,313,proc1_day3,True,4.6,6.35,5.21,4.3,4.905,5.325000000000001,,,,,1.9808306709265175,4.856230031948882,2.1388314566603888,5.2446792342416355,AC,near,different,near,6.1185006333251275,-0.873821399083492,2-5
16,lhy,Male,20,Left,4,2,267.615,293.90700000000004,5,3,163.073,134.59,190.5542868922135,215.344,214.24850000000004,0,120.0,124.0,172.55723688098394,32.81282269999974,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,17,0.0,2026-04-12,3,0.0,313,proc1_day3,True,8.55,9.390000000000002,5.21,4.3,6.879999999999999,6.845000000000001,,,,,3.8338658146964857,3.961661341853035,6.0879963863327,5.513010762970732,BC,unknown,different,unknown,6.119015035117989,-0.6060042721472563,4-5
16,lhy,Male,20,Left,5,3,163.073,134.59,1,1,18.779999999999998,194.06,156.06777613908645,90.9265,164.325,0,100.0,100.0,141.4213562373095,26.431735600000138,,,,,,,PDtask-16-2026-04-12.mat,2026-04-12,18,0.0,2026-04-12,3,0.0,313,proc1_day3,True,5.21,4.3,0.5999999999999999,6.2,2.9050000000000002,5.249999999999999,,,,,3.1948881789137378,3.1948881789137378,4.986190930961229,4.518254192885288,AC,near,different,near,3.7151457575712965,0.8031084353139915,1-5
16,lhy,Male,20,Left,1,1,18.779999999999998,194.06,2,1,143.98,198.755,125.2880003232552,81.38,196.4075,1,38.0,66.0,76.15773105863909,24.922925199999554,84.0,208.0,24.477174899999227,,,,PDtask-16-2026-04-12.mat,2026-04-12,19,0.0,2026-04-12,3,0.0,313,proc1_day3,True,0.5999999999999999,6.2,4.6,6.35,2.6,6.2749999999999995,2.6837060702875397,6.645367412140574,,,1.2140575079872205,2.108626198083067,4.002811511925087,2.4331543469213766,same,same,same,,3.00027632060782,-0.5671219736864432,1-2
