SubNo,source,schema,face,village,ability_pct,warmth_pct,actual_ability,actual_warmth,projected_ability,projected_warmth,true_ability,true_warmth,delta_ability,delta_warmth,euclidean_error
29,MRtask-29-2026-03-16.mat,warmth_ability,4,2,92.9090909090909,67.93103448275862,511.0,394.0,9.290909090909091,6.793103448275862,8.817,6.716,0.47390909090909084,0.07710344827586191,0.4801403630005599
29,MRtask-29-2026-03-16.mat,warmth_ability,5,3,51.090909090909086,18.79310344827586,281.0,108.99999999999999,5.1090909090909085,1.879310344827586,4.894,2.02,0.21509090909090833,-0.14068965517241394,0.2570168831926925
29,MRtask-29-2026-03-16.mat,warmth_ability,6,3,76.54545454545455,36.55172413793103,421.0,211.99999999999997,7.654545454545455,3.655172413793103,7.659,3.185,-0.004454545454544601,0.47017241379310315,0.47019351512673974
31,MRtask-31-2026-03-16.mat,warmth_ability,1,1,21.904761904761905,50.68181818181819,92.0,223.0,2.1904761904761907,5.068181818181818,2.416,4.788,-0.22552380952380924,0.2801818181818181,0.3596704601462299
31,MRtask-31-2026-03-16.mat,warmth_ability,2,1,28.809523809523807,78.63636363636364,120.99999999999999,346.0,2.8809523809523805,7.863636363636363,2.789,7.765,0.09195238095238034,0.09863636363636363,0.13484944417466702
31,MRtask-31-2026-03-16.mat,warmth_ability,3,2,68.33333333333333,87.5,286.99999999999994,385.0,6.833333333333332,8.75,6.426,8.527,0.407333333333332,0.22300000000000075,0.46438071067222814
31,MRtask-31-2026-03-16.mat,warmth_ability,4,2,88.33333333333333,70.9090909090909,371.0,312.0,8.833333333333332,7.090909090909091,8.817,6.716,0.01633333333333198,0.37490909090909064,0.3752647122020115
31,MRtask-31-2026-03-16.mat,warmth_ability,5,3,55.23809523809524,19.318181818181817,232.00000000000003,85.0,5.523809523809524,1.9318181818181817,4.894,2.02,0.6298095238095236,-0.08818181818181836,0.6359528829551999
31,MRtask-31-2026-03-16.mat,warmth_ability,6,3,77.38095238095238,35.0,325.0,154.0,7.738095238095238,3.5,7.659,3.185,0.07909523809523833,0.31499999999999995,0.3247784732542205
35,MRtask-35-2025-07-18.mat,warmth_ability,1,1,26.071428571428573,48.16666666666667,146.0,289.0,2.607142857142857,4.816666666666666,2.416,4.788,0.19114285714285728,0.028666666666666174,0.19328054639438624
35,MRtask-35-2025-07-18.mat,warmth_ability,2,1,25.71428571428571,81.0,144.0,486.00000000000006,2.571428571428571,8.100000000000001,2.789,7.765,-0.21757142857142897,0.33500000000000174,0.39945253351382515
35,MRtask-35-2025-07-18.mat,warmth_ability,3,2,63.74999999999999,82.0,357.0,491.99999999999994,6.375,8.2,6.426,8.527,-0.051000000000000156,-0.32699999999999996,0.3309531688925187
35,MRtask-35-2025-07-18.mat,warmth_ability,4,2,87.85714285714286,66.16666666666666,492.0,397.0,8.785714285714285,6.616666666666666,8.817,6.716,-0.03128571428571547,-0.09933333333333394,0.10414368453957568
